pid,trackName,physics_score_1_10,intensity_density_J_per_km,distance_km,elevation_gain_m_smoothed,W_grav_J,W_roll_J,kinetic_factor,si_p90,si_mean,si_max,si_global,difficulty_groopy,difficulty_technical,gpx_path
2739,משמר איילון מבוא חורון,3.4633073035968813,36725.51320950065,35.35551902970343,437.24084999999997,364468.7784404625,589422.6411774899,1.5845689280748503,1.5845689280748503,1.2655163266085492,40.231853473333295,4053.3807960947825,קל,קל,C:\DEV\RYDO\scraper\out_2750-2651\gpx\2739.gpx
2738,תל אביב בנימינה,1.6197197001517951,29500.069961981524,74.6384025274731,520.4,433787.3561,1244319.573248275,1.4208976362041217,1.4208976362041217,1.2087953624282182,93.98217865229662,1.5681399103418543,בינוני,קל,C:\DEV\RYDO\scraper\out_2750-2651\gpx\2738.gpx
2737,כפר יהושע עפולה טיפוס לגלבוע וסיום ברכבת  בית שאן,3.1624660836849485,35546.44737236543,70.63710960671678,768.6999999999999,640761.607675,1177612.7985720055,1.5880743600646392,1.5880743600646392,1.870403204500319,35.328861268314014,1.8300464689859433,בינוני,קל,C:\DEV\RYDO\scraper\out_2750-2651\gpx\2737.gpx
2736,נווה ים נחשולים בורקס עתלית נוה ים,2.873046069519342,34412.14386373801,34.47025441920711,200.1,166796.406525,574664.1248501996,1.7739039266356453,1.7739039266356453,1.5225115091104542,146.7948315865152,1382.673974172478,בינוני-קל,קל,C:\DEV\RYDO\scraper\out_2750-2651\gpx\2736.gpx
2735,דרך נוף כרמל מעגלי,4.412795735412854,40446.776449415134,22.97366014976705,409.8286410000539,341618.91359237017,383000.89532311214,1.5341780917101588,1.5341780917101588,1.2507700315669659,4.1005216908212265,70.38833281658623,בינוני,קל,C:\DEV\RYDO\scraper\out_2750-2651\gpx\2735.gpx
2734,ירקון ליום חם-קל קצר ורטוב.,6.489260553146233,48584.91898626343,21.99169224799778,364.7928606235349,304078.652063872,366630.2089325066,2.0848962130031525,2.0848962130031525,1.4125011613259653,3.58844901001181,3700.423932281367,קל,קל,C:\DEV\RYDO\scraper\out_2750-2651\gpx\2734.gpx
2733,"קנדה קשתות ומח""ר",10.0,87373.89568191138,20.34138403919802,391.0,325924.01275,339117.41743960214,4.279880300088333,4.279880300088333,5.18432850491974,365.08814955864074,99.78410195396228,בינוני,קל,C:\DEV\RYDO\scraper\out_2750-2651\gpx\2733.gpx
2731,ירושלים תל אביב,3.8524011399132005,38250.46131991834,100.32951267590784,1110.6000000000004,925757.5666500003,1672623.9063214257,1.740912925016208,1.740912925016208,1.372718252166183,239.67470699436086,1.9572373411819377,למתקדמים,בינוני,C:\DEV\RYDO\scraper\out_2750-2651\gpx\2731.gpx
2730,צהוב כחול בזורע,9.007373210519669,58453.98084299948,25.59752678046014,527.6999999999998,439872.38242499984,426744.17620271904,2.475499412852801,2.475499412852801,1.6727130048966006,47.46533561678288,1834.3546183735734,למתקדמים,בינוני,C:\DEV\RYDO\scraper\out_2750-2651\gpx\2730.gpx
2728,תל אביב חיפה ללא חול,1.9251284210057218,30697.0368843582,106.14047052740374,637.8,531647.9164499999,1769500.1570058586,1.540858875574443,1.540858875574443,1.3706978264130842,284.51755297473045,1.375472210655198,למתקדמים,בינוני,C:\DEV\RYDO\scraper\out_2750-2651\gpx\2728.gpx
